County,State,Republic,Democrate,Win
Galax city County,VA,0.698,0.295,R
Gallatin County,KY,0.768,0.214,R
Gallatin County,MT,0.443,0.518,D
Gallatin County,IL,0.755,0.232,R
Gallia County,OH,0.77,0.218,R
Galveston County,TX,0.607,0.379,R
Garden County,NE,0.85,0.135,R
Gardiner County,ME,0.449,0.517,D
Gardner County,MA,0.421,0.551,D
Garfield County,UT,0.789,0.188,R
Garfield County,NE,0.867,0.125,R
Garfield County,OK,0.757,0.219,R
Garfield County,WA,0.722,0.246,R
Garfield County,MT,0.94,0.05,R
Garfield County,CO,0.477,0.499,R
Garland County,AR,0.658,0.318,R
Garland County,ME,0.676,0.293,R
Garrard County,KY,0.776,0.21,R
Garrett County,MD,0.775,0.206,R
Garvin County,OK,0.813,0.171,R
Garza County,TX,0.855,0.14,R
Gasconade County,MO,0.784,0.202,R
Gaston County,NC,0.634,0.354,R
Gates County,NC,0.564,0.427,R
Geary County,KS,0.558,0.411,R
Geauga County,OH,0.606,0.379,R
Gem County,ID,0.798,0.181,R
Genesee County,NY,0.693,0.282,R
Genesee County,MI,0.445,0.539,D
Geneva County,AL,0.865,0.127,R
Gentry County,MO,0.797,0.189,R
George County,MS,0.878,0.11,R
Georgetown County,SC,0.559,0.431,R
Georgetown County,ME,0.35,0.626,D
Georgetown County,MA,0.429,0.546,D
Georgia County,VT,0.442,0.518,D
Gibson County,TN,0.727,0.258,R
Gibson County,IN,0.731,0.249,R
Gila County,AZ,0.664,0.323,R
Gilchrist County,FL,0.814,0.175,R
Giles County,VA,0.751,0.235,R
Giles County,TN,0.741,0.25,R
Gilford County,NH,0.517,0.472,R
Gill County,MA,0.285,0.686,D
Gillespie County,TX,0.79,0.2,R
Gilliam County,OR,0.708,0.275,R
Gilmanton County,NH,0.569,0.408,R
Gilmer County,WV,0.756,0.225,R
Gilmer County,GA,0.813,0.177,R
Gilpin County,CO,0.438,0.531,D
Gilsum County,NH,0.51,0.465,R
Glacier County,MT,0.334,0.64,D
Glades County,FL,0.727,0.266,R
Gladwin County,MI,0.677,0.31,R
Glascock County,GA,0.896,0.099,R
Glasscock County,TX,0.936,0.06,R
Glastonbury County,CT,0.357,0.625,D
Glenburn County,ME,0.573,0.394,R
Glenn County,CA,0.629,0.35,R
Glocester County,RI,0.552,0.434,R
Gloucester County,MA,0.307,0.67,D
Gloucester County,VA,0.669,0.313,R
Gloucester County,NJ,0.48,0.5,R
Glover County,VT,0.359,0.602,D
Glynn County,GA,0.61,0.378,R
Goffstown County,NH,0.494,0.487,R
Gogebic County,MI,0.556,0.432,R
Golden Valley County,MT,0.823,0.155,R
Golden Valley County,ND,0.849,0.134,R
Goliad County,TX,0.775,0.219,R
Gonzales County,TX,0.739,0.251,R
Goochland County,VA,0.59,0.396,R
Goodhue County,MN,0.562,0.413,R
Gooding County,ID,0.77,0.208,R
Gordon County,GA,0.807,0.182,R
Gorham County,NH,0.444,0.537,D
Gorham County,ME,0.385,0.582,D
Goshen County,WY,0.782,0.193,R
Goshen County,CT,0.553,0.43,R
Goshen County,MA,0.344,0.622,D
Goshen County,NH,0.59,0.387,R
Goshen County,VT,0.27,0.714,D
Gosper County,NE,0.799,0.192,R
Gouldsboro County,ME,0.546,0.426,R
Gove County,KS,0.876,0.114,R
Grady County,OK,0.802,0.179,R
Grady County,GA,0.657,0.338,R
Grafton County,MA,0.353,0.622,D
Grafton County,VT,0.0,0.649,D
Grafton County,NH,0.54,0.44,R
Graham County,KS,0.808,0.171,R
Graham County,NC,0.795,0.195,R
Graham County,AZ,0.717,0.269,R
Grainger County,TN,0.846,0.145,R
Granby County,VT,0.535,0.465,R
Granby County,MA,0.458,0.519,D
Granby County,CT,0.429,0.546,D
Grand County,UT,0.431,0.544,D
Grand County,CO,0.495,0.477,R
Grand Forks County,ND,0.548,0.416,R
Grand Isle County,VT,0.379,0.586,D
Grand Isle County,ME,0.513,0.461,R
Grand Lake Stream Plt County,ME,0.612,0.378,R
Grand Traverse County,MI,0.506,0.476,R
Granite County,MT,0.675,0.304,R
Grant County,NE,0.933,0.05,R
Grant County,ND,0.828,0.151,R
Grant County,KS,0.779,0.203,R
Grant County,IN,0.681,0.294,R
Grant County,KY,0.786,0.199,R
Grant County,NM,0.454,0.526,D
Grant County,OK,0.861,0.126,R
Grant County,WI,0.552,0.429,R
Grant County,SD,0.699,0.282,R
Grant County,WA,0.663,0.314,R
Grant County,WV,0.884,0.11,R
Grant County,LA,0.864,0.123,R
Grant County,AR,0.829,0.155,R
Grant County,MN,0.622,0.356,R
Grant County,OR,0.772,0.202,R
Grantham County,NH,0.305,0.682,D
Granville County,NC,0.527,0.461,R
Granville County,VT,0.178,0.805,D
Granville County,MA,0.571,0.406,R
Gratiot County,MI,0.632,0.35,R
Graves County,KY,0.776,0.209,R
Gray County,TX,0.88,0.106,R
Gray County,ME,0.474,0.492,R
Gray County,KS,0.835,0.15,R
Grays Harbor County,WA,0.519,0.455,R
Grayson County,KY,0.789,0.2,R
Grayson County,VA,0.804,0.189,R
Grayson County,TX,0.745,0.242,R
Great Barrington County,MA,0.159,0.819,D
Great Pond County,ME,0.581,0.419,R
Greeley County,KS,0.854,0.122,R
Greeley County,NE,0.808,0.182,R
Green County,WI,0.475,0.507,D
Green County,KY,0.832,0.158,R
Green Lake County,WI,0.672,0.313,R
Greenbrier County,WV,0.689,0.294,R
Greenbush County,ME,0.696,0.269,R
Greene County,PA,0.712,0.278,R
Greene County,NY,0.609,0.368,R
Greene County,OH,0.588,0.393,R
Greene County,AL,0.183,0.813,D
Greene County,NC,0.557,0.438,R
Greene County,MO,0.589,0.386,R
Greene County,TN,0.791,0.185,R
Greene County,MS,0.825,0.166,R
Greene County,ME,0.63,0.346,R
Greene County,IL,0.766,0.217,R
Greene County,IA,0.637,0.35,R
Greene County,GA,0.628,0.363,R
Greene County,AR,0.787,0.19,R
Greene County,VA,0.609,0.369,R
Greene County,IN,0.751,0.229,R
Greenfield County,NH,0.461,0.524,D
Greenfield County,MA,0.241,0.73,D
Greenland County,NH,0.397,0.59,D
Greenlee County,AZ,0.66,0.321,R
Greensboro County,VT,0.216,0.743,D
Greensville County,VA,0.419,0.575,D
Greenup County,KY,0.719,0.268,R
Greenville County,ME,0.557,0.42,R
Greenville County,SC,0.581,0.399,R
Greenville County,NH,0.505,0.475,R
Greenwich County,CT,0.366,0.614,D
Greenwood County,KS,0.793,0.185,R
Greenwood County,SC,0.607,0.379,R
Greenwood County,ME,0.454,0.522,D
Greer County,OK,0.813,0.166,R
Gregg County,TX,0.678,0.307,R
Gregory County,SD,0.784,0.202,R
Grenada County,MS,0.624,0.366,R
Griggs County,ND,0.726,0.246,R
Grimes County,TX,0.76,0.228,R
Griswold County,CT,0.545,0.429,R
Groton County,VT,0.495,0.452,R
Groton County,CT,0.361,0.615,D
Groton County,NH,0.611,0.374,R
Groton County,MA,0.296,0.677,D
Groveland County,MA,0.436,0.532,D
Grundy County,IA,0.679,0.304,R
Grundy County,MO,0.808,0.18,R
Grundy County,TN,0.82,0.169,R
Grundy County,IL,0.62,0.358,R
Guadalupe County,NM,0.419,0.564,D
Guadalupe County,TX,0.613,0.371,R
Guernsey County,OH,0.734,0.253,R
Guildhall County,VT,0.517,0.454,R
Guilford County,NC,0.378,0.61,D
Guilford County,CT,0.332,0.655,D
Guilford County,ME,0.635,0.338,R
Guilford County,VT,0.254,0.718,D
Gulf County,FL,0.748,0.243,R
Gunnison County,CO,0.331,0.641,D
Guthrie County,IA,0.671,0.312,R
Gwinnett County,GA,0.402,0.584,D
Haakon County,SD,0.902,0.092,R
Habersham County,GA,0.814,0.174,R
Haddam County,CT,0.489,0.495,R
Hadley County,MA,0.273,0.727,D
Hale County,AL,0.403,0.592,D
Hale County,TX,0.749,0.238,R
Halifax County,VA,0.572,0.421,R
Halifax County,NC,0.391,0.604,D
Halifax County,MA,0.493,0.482,R
Halifax County,VT,0.392,0.555,D
Hall County,NE,0.664,0.315,R
Hall County,TX,0.852,0.143,R
Hall County,GA,0.709,0.277,R
Hallowell County,ME,0.248,0.711,D
Hamblen County,TN,0.764,0.223,R
Hamden County,CT,0.258,0.732,D
Hamilton County,TX,0.831,0.147,R
Hamilton County,MA,0.294,0.674,D
Hamilton County,FL,0.653,0.336,R
Hamilton County,OH,0.414,0.57,D
Hamilton County,NY,0.679,0.305,R
Hamilton County,TN,0.539,0.441,R
Hamilton County,KS,0.817,0.16,R
Hamilton County,IN,0.524,0.456,R
Hamilton County,IL,0.794,0.19,R
Hamilton County,IA,0.582,0.334,R
Hamilton County,NE,0.778,0.202,R
Hamlin County,SD,0.769,0.21,R
Hampden County,MA,0.514,0.461,R
Hampden County,ME,0.459,0.497,R
Hampshire County,WV,0.796,0.192,R
Hampstead County,NH,0.56,0.423,R
Hampton County,SC,0.42,0.572,D
Hampton County,CT,0.484,0.502,D
Hampton County,NH,0.453,0.535,D
Hampton Falls County,NH,0.502,0.491,R
Hampton city County,VA,0.281,0.704,D
Hancock County,OH,0.679,0.304,R
Hancock County,MS,0.804,0.178,R
Hancock County,ME,0.524,0.443,R
Hancock County,KY,0.686,0.295,R
Hancock County,IN,0.676,0.301,R
Hancock County,IL,0.809,0.17,R
Hancock County,GA,0.278,0.717,D
Hancock County,IA,0.713,0.273,R
Hancock County,TN,0.864,0.132,R
Hancock County,VT,0.333,0.596,D
Hancock County,NH,0.314,0.674,D
Hancock County,MA,0.433,0.538,D
Hancock County,WV,0.711,0.275,R
Hand County,SD,0.781,0.203,R
Hanover County,NH,0.118,0.873,D
Hanover County,ME,0.465,0.51,D
Hanover County,MA,0.468,0.508,D
Hanover County,VA,0.627,0.358,R
Hansford County,TX,0.903,0.081,R
Hanson County,MA,0.492,0.481,R
Hanson County,SD,0.751,0.233,R
Haralson County,GA,0.864,0.126,R
Hardee County,FL,0.722,0.271,R
Hardeman County,TX,0.842,0.153,R
Hardeman County,TN,0.573,0.416,R
Hardin County,KY,0.61,0.37,R
Hardin County,OH,0.749,0.234,R
Hardin County,TN,0.829,0.154,R
Hardin County,TX,0.864,0.125,R
Hardin County,IA,0.652,0.332,R
Harding County,NM,0.632,0.354,R
Harding County,SD,0.92,0.06,R
Hardwick County,VT,0.365,0.59,D
Hardwick County,MA,0.48,0.489,R
Hardy County,WV,0.767,0.218,R
Harford County,MD,0.56,0.419,R
Harlan County,KY,0.854,0.136,R
Harlan County,NE,0.838,0.146,R
Harmon County,OK,0.801,0.19,R
Harnett County,NC,0.605,0.378,R
Harney County,OR,0.775,0.2,R
Harper County,OK,0.892,0.091,R
Harper County,KS,0.81,0.173,R
Harpswell County,ME,0.366,0.613,D
Harrington County,ME,0.675,0.312,R
Harris County,TX,0.428,0.558,D
Harris County,GA,0.716,0.273,R
Harrison County,WV,0.678,0.301,R
Harrison County,TX,0.724,0.265,R
Harrison County,ME,0.506,0.471,R
Harrison County,IA,0.684,0.3,R
Harrison County,MO,0.836,0.156,R
Harrison County,KY,0.715,0.271,R
Harrison County,MS,0.677,0.304,R
Harrison County,OH,0.756,0.232,R
Harrison County,IN,0.72,0.264,R
Harrisonburg city County,VA,0.329,0.649,D
Harrisville County,NH,0.264,0.728,D
Hart County,GA,0.744,0.248,R
Hart County,KY,0.758,0.228,R
Hartford County,ME,0.591,0.384,R
Hartford County,VT,0.251,0.721,D
Hartford County,CT,0.126,0.866,D
Hartland County,CT,0.633,0.354,R
Hartland County,VT,0.286,0.686,D
Hartland County,ME,0.679,0.296,R
Hartley County,TX,0.899,0.094,R
Harts Location County,NH,0.465,0.535,D
Harvard County,MA,0.234,0.744,D
Harvey County,KS,0.588,0.391,R
Harwich County,MA,0.359,0.615,D
Harwinton County,CT,0.602,0.377,R
Haskell County,KS,0.798,0.189,R
Haskell County,TX,0.831,0.16,R
Haskell County,OK,0.831,0.156,R
Hatfield County,MA,0.299,0.68,D
Haverhill County,MA,0.39,0.586,D
Haverhill County,NH,0.55,0.431,R
Hawaii County,HI,0.306,0.669,D
Hawkins County,TN,0.822,0.164,R
Hawley County,MA,0.303,0.671,D
Hayes County,NE,0.925,0.064,R
Hays County,TX,0.436,0.544,D
Haywood County,NC,0.626,0.361,R
Haywood County,TN,0.45,0.539,D
Heard County,GA,0.837,0.153,R
Hebron County,NH,0.511,0.457,R
Hebron County,ME,0.549,0.415,R
Hebron County,CT,0.436,0.541,D
Hemphill County,TX,0.864,0.12,R
Hempstead County,AR,0.653,0.312,R
Henderson County,IL,0.655,0.325,R
Henderson County,KY,0.615,0.369,R
Henderson County,TX,0.796,0.195,R
Henderson County,TN,0.815,0.174,R
Henderson County,NC,0.587,0.399,R
Hendricks County,IN,0.607,0.367,R
Hendry County,FL,0.61,0.381,R
Hennepin County,MN,0.273,0.707,D
Henniker County,NH,0.397,0.579,D
Henrico County,VA,0.348,0.639,D
Henry County,IL,0.596,0.381,R
Henry County,GA,0.393,0.597,D
Henry County,IA,0.653,0.329,R
Henry County,IN,0.716,0.264,R
Henry County,KY,0.721,0.264,R
Henry County,MO,0.744,0.243,R
Henry County,OH,0.709,0.276,R
Henry County,TN,0.747,0.236,R
Henry County,VA,0.641,0.35,R
Henry County,AL,0.712,0.279,R
Herkimer County,NY,0.688,0.294,R
Hermon County,ME,0.612,0.365,R
Hernando County,FL,0.644,0.343,R
Hersey County,ME,0.786,0.19,R
Hertford County,NC,0.328,0.668,D
Hettinger County,ND,0.832,0.149,R
Hickman County,KY,0.779,0.208,R
Hickman County,TN,0.771,0.217,R
Hickory County,MO,0.781,0.207,R
Hidalgo County,NM,0.567,0.417,R
Hidalgo County,TX,0.409,0.58,D
Highgate County,VT,0.565,0.404,R
Highland County,OH,0.796,0.194,R
Highland County,VA,0.713,0.272,R
Highland Plt. County,ME,0.612,0.362,R
Highlands County,FL,0.669,0.325,R
Hill County,TX,0.8,0.191,R
Hill County,MT,0.551,0.415,R
Hill County,NH,0.635,0.353,R
Hillsborough County,NH,0.526,0.45,R
Hillsborough County,FL,0.46,0.529,D
Hillsdale County,MI,0.732,0.253,R
Hinds County,MS,0.26,0.724,D
Hinesburg County,VT,0.242,0.727,D
Hingham County,MA,0.31,0.666,D
Hinsdale County,CO,0.559,0.403,R
Hinsdale County,MA,0.332,0.637,D
Hinsdale County,NH,0.433,0.547,D
Hiram County,ME,0.569,0.402,R
Hitchcock County,NE,0.86,0.119,R
Hocking County,OH,0.693,0.278,R
Hockley County,TX,0.808,0.183,R
Hodgdon County,ME,0.828,0.153,R
Hodgeman County,KS,0.838,0.146,R
Hoke County,NC,0.439,0.545,D
Holbrook County,MA,0.383,0.597,D
Holden County,ME,0.565,0.41,R
Holden County,MA,0.396,0.578,D
Holderness County,NH,0.384,0.601,D
Holland County,VT,0.587,0.388,R
Holland County,MA,0.513,0.452,R
Hollis County,ME,0.53,0.438,R
Hollis County,NH,0.424,0.563,D
Holliston County,MA,0.268,0.704,D
Holmes County,FL,0.89,0.102,R
Holmes County,MS,0.183,0.792,D
Holmes County,OH,0.831,0.155,R
Holt County,NE,0.862,0.123,R
Holt County,MO,0.843,0.144,R
Holyoke County,MA,0.297,0.681,D
Honolulu County,HI,0.357,0.625,D
Hood County,TX,0.813,0.173,R
Hood River County,OR,0.302,0.67,D
Hooker County,NE,0.851,0.133,R
Hooksett County,NH,0.511,0.473,R
Hope County,ME,0.397,0.585,D
Hopedale County,MA,0.368,0.603,D
Hopewell city County,VA,0.418,0.565,D
Hopkins County,TX,0.798,0.191,R
Hopkins County,KY,0.733,0.253,R
Hopkinton County,RI,0.502,0.477,R
Hopkinton County,NH,0.336,0.646,D
Hopkinton County,MA,0.289,0.686,D
Horry County,SC,0.661,0.329,R
Hot Spring County,AR,0.734,0.244,R
Hot Springs County,WY,0.776,0.187,R
Houghton County,MI,0.56,0.418,R
Houlton County,ME,0.598,0.382,R
Houston County,GA,0.555,0.431,R
Houston County,MN,0.554,0.424,R
Houston County,AL,0.708,0.278,R
Houston County,TX,0.748,0.245,R
Houston County,TN,0.738,0.236,R
Howard County,AR,0.697,0.277,R
Howard County,IN,0.65,0.327,R
Howard County,MD,0.269,0.712,D
Howard County,MO,0.698,0.277,R
Howard County,NE,0.796,0.185,R
Howard County,TX,0.787,0.201,R
Howard County,IA,0.631,0.358,R
Howell County,MO,0.814,0.172,R
Howland County,ME,0.607,0.344,R
Hubbard County,MN,0.634,0.345,R
Hubbardston County,MA,0.493,0.475,R
Hubbardton County,VT,0.447,0.518,D
Hudson County,NJ,0.25,0.737,D
Hudson County,ME,0.792,0.196,R
Hudson County,MA,0.332,0.639,D
Hudson County,NH,0.529,0.453,R
Hudspeth County,TX,0.666,0.321,R
Huerfano County,CO,0.5,0.472,R
Hughes County,OK,0.798,0.189,R
Hughes County,SD,0.633,0.339,R
Hull County,MA,0.344,0.635,D
Humboldt County,CA,0.299,0.675,D
Humboldt County,NV,0.755,0.218,R
Humboldt County,IA,0.718,0.271,R
Humphreys County,MS,0.268,0.719,D
Humphreys County,TN,0.743,0.245,R
Hunt County,TX,0.756,0.231,R
Hunterdon County,NJ,0.503,0.474,R
Huntingdon County,PA,0.748,0.239,R
Huntington County,MA,0.489,0.481,R
Huntington County,IN,0.738,0.239,R
Huntington County,VT,0.222,0.744,D
Huron County,OH,0.696,0.287,R
Huron County,MI,0.682,0.305,R
Hutchinson County,SD,0.782,0.202,R
Hutchinson County,TX,0.876,0.109,R
Hyde County,SD,0.794,0.192,R
Hyde County,NC,0.57,0.419,R
Hyde Park County,VT,0.314,0.643,D
Iberia County,LA,0.65,0.337,R
Iberville County,LA,0.472,0.509,D
Ida County,IA,0.748,0.238,R
Idaho County,ID,0.815,0.163,R
Imperial County,CA,0.346,0.634,D
Independence County,AR,0.775,0.193,R
Indian River County,FL,0.602,0.387,R
Indiana County,PA,0.682,0.307,R
Industry County,ME,0.502,0.46,R
Ingham County,MI,0.329,0.651,D
Inyo County,CA,0.485,0.491,R
Ionia County,MI,0.641,0.338,R
Iosco County,MI,0.634,0.349,R
Iowa County,WI,0.422,0.559,D
Iowa County,IA,0.618,0.365,R
Ipswich County,MA,0.326,0.65,D
Ira County,VT,0.496,0.496,R
Irasburg County,VT,0.602,0.382,R
Iredell County,NC,0.656,0.33,R
Irion County,TX,0.854,0.135,R
Iron County,UT,0.763,0.197,R
Iron County,MO,0.783,0.206,R
Iron County,MI,0.62,0.367,R
Iron County,WI,0.608,0.382,R
Iroquois County,IL,0.775,0.207,R
Irwin County,GA,0.752,0.242,R
Isabella County,MI,0.504,0.478,R
Isanti County,MN,0.683,0.295,R
Island County,WA,0.424,0.546,D
Island Falls County,ME,0.68,0.293,R
Isle La Motte County,VT,0.421,0.547,D
Isle of Wight County,VA,0.585,0.401,R
Islesboro County,ME,0.27,0.694,D
Issaquena County,MS,0.456,0.525,D
Itasca County,MN,0.575,0.407,R
Itawamba County,MS,0.873,0.114,R
Izard County,AR,0.797,0.176,R
Jack County,TX,0.904,0.088,R
Jackson County,IL,0.48,0.492,R
Jackson County,IA,0.624,0.362,R
Jackson County,TX,0.824,0.164,R
Jackson County,FL,0.691,0.302,R
Jackson County,NH,0.27,0.721,D
Jackson County,LA,0.707,0.281,R
Jackson County,GA,0.783,0.203,R
Jackson County,AR,0.706,0.268,R
Jackson County,CO,0.779,0.198,R
Jackson County,AL,0.832,0.157,R
Jackson County,ME,0.565,0.396,R
Jackson County,WI,0.569,0.418,R
Jackson County,TN,0.774,0.213,R
Jackson County,SD,0.662,0.322,R
Jackson County,KY,0.891,0.099,R
Jackson County,KS,0.686,0.286,R
Jackson County,IN,0.757,0.224,R
Jackson County,MI,0.585,0.395,R
Jackson County,MN,0.679,0.3,R
Jackson County,WV,0.747,0.237,R
Jackson County,MS,0.716,0.265,R
Jackson County,NC,0.531,0.449,R
Jackson County,OH,0.763,0.225,R
Jackson County,OK,0.778,0.2,R
Jackson County,OR,0.503,0.466,R
Jackson County,MO,0.381,0.599,D
Jaffrey County,NH,0.467,0.506,D
Jamaica County,VT,0.256,0.699,D
James City County,VA,0.469,0.517,D
Jamestown County,RI,0.298,0.688,D
Jasper County,IL,0.805,0.18,R
Jasper County,GA,0.762,0.23,R
Jasper County,IA,0.599,0.383,R
Jasper County,IN,0.735,0.245,R
Jasper County,MS,0.492,0.496,R
Jasper County,SC,0.492,0.499,R
Jasper County,TX,0.805,0.188,R
Jasper County,MO,0.718,0.258,R
Jay County,IN,0.751,0.227,R
Jay County,ME,0.512,0.454,R
Jay County,VT,0.473,0.49,R
Jeff Davis County,TX,0.6,0.384,R
Jeff Davis County,GA,0.814,0.178,R
Jefferson County,KY,0.39,0.591,D
Jefferson County,IN,0.656,0.321,R
Jefferson County,IL,0.716,0.264,R
Jefferson County,ID,0.854,0.117,R
Jefferson County,IA,0.496,0.482,R
Jefferson County,GA,0.463,0.531,D
Jefferson County,KS,0.646,0.324,R
Jefferson County,CO,0.393,0.579,D
Jefferson County,AR,0.38,0.595,D
Jefferson County,AL,0.426,0.557,D
Jefferson County,ME,0.562,0.402,R
Jefferson County,NH,0.595,0.388,R
Jefferson County,FL,0.529,0.46,R
Jefferson County,TN,0.79,0.197,R
Jefferson County,TX,0.502,0.486,R
Jefferson County,MS,0.135,0.851,D
Jefferson County,LA,0.547,0.436,R
Jefferson County,WV,0.543,0.438,R
Jefferson County,WA,0.279,0.701,D
Jefferson County,PA,0.788,0.198,R
Jefferson County,MO,0.66,0.322,R
Jefferson County,WI,0.567,0.415,R
Jefferson County,OK,0.849,0.134,R
Jefferson County,OH,0.685,0.302,R
Jefferson County,NY,0.641,0.339,R
Jefferson County,NE,0.704,0.273,R
Jefferson County,MT,0.653,0.32,R
Jefferson County,OR,0.604,0.369,R
Jefferson Davis County,LA,0.77,0.216,R
Jefferson Davis County,MS,0.408,0.579,D
Jenkins County,GA,0.625,0.366,R
Jennings County,IN,0.775,0.206,R
Jerauld County,SD,0.717,0.268,R
Jericho County,VT,0.247,0.726,D
Jerome County,ID,0.734,0.242,R
Jersey County,IL,0.728,0.248,R
Jessamine County,KY,0.651,0.326,R
Jewell County,KS,0.851,0.131,R
Jim Hogg County,TX,0.409,0.588,D
Jim Wells County,TX,0.547,0.446,R
Jo Daviess County,IL,0.574,0.409,R
Johnson County,MO,0.669,0.301,R
Johnson County,KY,0.829,0.158,R
Johnson County,KS,0.45,0.529,D
Johnson County,IN,0.658,0.318,R
Johnson County,IL,0.784,0.199,R
Johnson County,GA,0.695,0.298,R
Johnson County,AR,0.73,0.241,R
Johnson County,NE,0.681,0.29,R
Johnson County,TX,0.758,0.228,R
Johnson County,WY,0.79,0.183,R
Johnson County,VT,0.331,0.624,D
Johnson County,IA,0.274,0.708,D
Johnson County,TN,0.83,0.159,R
Johnston County,OK,0.809,0.174,R
Johnston County,RI,0.541,0.45,R
Johnston County,NC,0.616,0.371,R
Jones County,IA,0.599,0.384,R
Jones County,MS,0.722,0.265,R
Jones County,NC,0.596,0.397,R
Jones County,GA,0.666,0.327,R
Jones County,TX,0.84,0.148,R
Jones County,SD,0.831,0.15,R
Jonesport County,ME,0.628,0.341,R
Josephine County,OR,0.616,0.357,R
Juab County,UT,0.865,0.11,R
Judith Basin County,MT,0.774,0.205,R
Juneau County,WI,0.639,0.346,R
Juniata County,PA,0.801,0.187,R
Kalamazoo County,MI,0.396,0.584,D
Kalkaska County,MI,0.7,0.283,R
Kanabec County,MN,0.681,0.301,R
Kanawha County,WV,0.564,0.418,R
Kandiyohi County,MN,0.619,0.362,R
Kane County,IL,0.417,0.561,D
Kane County,UT,0.718,0.26,R
Kankakee County,IL,0.571,0.404,R
Karnes County,TX,0.757,0.233,R
Kauai County,HI,0.346,0.634,D
Kaufman County,TX,0.664,0.324,R
Kay County,OK,0.744,0.234,R
Kearney County,NE,0.783,0.195,R
Kearny County,KS,0.803,0.18,R
Keene County,NH,0.291,0.692,D
Keith County,NE,0.812,0.175,R
Kemper County,MS,0.409,0.578,D
Kendall County,IL,0.465,0.512,D
Kendall County,TX,0.759,0.227,R
Kenduskeag County,ME,0.668,0.314,R
Kenedy County,TX,0.655,0.335,R
Kennebunk County,ME,0.324,0.648,D
Kennebunkport County,ME,0.333,0.639,D
Kenosha County,WI,0.507,0.476,R
Kensington County,NH,0.466,0.517,D
Kent County,CT,0.305,0.685,D
Kent County,DE,0.471,0.512,D
Kent County,MD,0.489,0.491,R
Kent County,MI,0.46,0.52,D
Kent County,TX,0.89,0.102,R
Kenton County,KY,0.586,0.393,R
Keokuk County,IA,0.718,0.267,R
Kern County,CA,0.516,0.462,R
Kerr County,TX,0.752,0.235,R
Kershaw County,SC,0.609,0.378,R
Kewaunee County,WI,0.655,0.329,R
Keweenaw County,MI,0.554,0.432,R
Keya Paha County,NE,0.9,0.093,R
Kidder County,ND,0.832,0.151,R
Killingly County,CT,0.565,0.411,R
Killington County,VT,0.305,0.67,D
Killingworth County,CT,0.451,0.534,D
Kimball County,NE,0.835,0.144,R
Kimble County,TX,0.867,0.124,R
King County,WA,0.223,0.755,D
King County,TX,0.95,0.05,R
King George County,VA,0.596,0.382,R
King William County,VA,0.683,0.304,R
King and Queen County,VA,0.597,0.387,R
Kingfield County,ME,0.5,0.458,R
Kingfisher County,OK,0.854,0.132,R
Kingman County,KS,0.79,0.19,R
Kings County,NY,0.252,0.741,D
Kings County,CA,0.553,0.423,R
Kingsbury County,SD,0.685,0.295,R
Kingston County,MA,0.445,0.532,D
Kingston County,NH,0.563,0.422,R
Kinney County,TX,0.714,0.278,R
Kiowa County,KS,0.84,0.134,R
Kiowa County,OK,0.78,0.204,R
Kiowa County,CO,0.881,0.109,R
Kirby County,VT,0.392,0.578,D
Kit Carson County,CO,0.813,0.17,R
Kitsap County,WA,0.39,0.573,D
Kittery County,ME,0.282,0.689,D
Kittitas County,WA,0.539,0.43,R
Kittson County,MN,0.586,0.381,R
Klamath County,OR,0.689,0.282,R
Kleberg County,TX,0.503,0.485,R
Klickitat County,WA,0.54,0.441,R
Knott County,KY,0.765,0.226,R
Knox County,NE,0.792,0.192,R
Knox County,MO,0.801,0.183,R
Knox County,TN,0.566,0.414,R
Knox County,TX,0.81,0.182,R
Knox County,OH,0.711,0.275,R
Knox County,IL,0.52,0.459,R
Knox County,IN,0.727,0.254,R
Knox County,KY,0.829,0.159,R
Knox County,ME,0.538,0.414,R
Koochiching County,MN,0.597,0.384,R
Kootenai County,ID,0.699,0.271,R
Kosciusko County,IN,0.739,0.233,R
Kossuth County,IA,0.691,0.297,R
La Crosse County,WI,0.423,0.558,D
La Paz County,AZ,0.688,0.3,R
La Plata County,CO,0.4,0.576,D
La Salle County,TX,0.555,0.437,R
LaGrange County,IN,0.763,0.221,R
LaMoure County,ND,0.741,0.237,R
LaPorte County,IN,0.525,0.453,R
LaSalle County,LA,0.901,0.09,R
LaSalle County,IL,0.566,0.413,R
Labette County,KS,0.67,0.31,R
Lac qui Parle County,MN,0.626,0.358,R
Lackawanna County,PA,0.452,0.536,D
Laclede County,MO,0.818,0.165,R
Laconia County,NH,0.518,0.462,R
Lafayette County,FL,0.854,0.139,R
Lafayette County,MO,0.718,0.262,R
Lafayette County,AR,0.656,0.313,R
Lafayette County,WI,0.564,0.426,R
Lafayette County,LA,0.633,0.347,R
Lafayette County,MS,0.576,0.402,R
Lafourche County,LA,0.794,0.191,R
Lake County,IN,0.417,0.567,D
Lake County,CO,0.379,0.581,D
Lake County,MI,0.623,0.361,R
Lake County,FL,0.594,0.394,R
Lake County,IL,0.374,0.607,D
Lake County,SD,0.627,0.352,R
Lake County,OR,0.795,0.182,R
Lake County,OH,0.56,0.425,R
Lake County,MT,0.561,0.416,R
Lake County,TN,0.734,0.259,R
Lake County,CA,0.358,0.623,D
Lake County,MN,0.471,0.506,D
Lake of the Woods County,MN,0.709,0.279,R
Lakeville County,MA,0.516,0.455,R
