Date,County,State,Series_Complete_Pop_Pct,Fully_Vaccinated,Fully_Vaccinated_12+,Fully_Vaccinated_18+,Fully_Vaccinated_65+,Completeness_pct,Administered_Dose1_Recip,Partially_Vaccinated,Partially_Vaccinated_12+,Partially_Vaccinated_18+,Partially_Vaccinated_65+
2021-10-28,Harnett County,NC,34.5,46848,41.8,43.3,72.0,97.3,56432.0,41.5,50.3,52.0,83.7
2021-10-28,Pike County,IN,53.3,6609,62.0,65.7,98.0,98.7,7160.0,57.8,67.1,70.8,99.9
2021-10-28,Osceola County,IA,41.6,2479,48.7,52.7,76.6,97.5,2612.0,43.8,51.3,55.3,79.0
2021-10-28,Stevens County,MN,50.5,4951,58.9,60.5,84.6,94.5,5304.0,54.1,63.1,65.0,89.9
2021-10-28,Henderson County,KY,45.3,20487,53.2,55.8,79.6,94.4,22827.0,50.5,59.2,62.1,85.8
2021-10-28,Sweet Grass County,MT,37.1,1385,42.3,44.8,63.0,95.7,1483.0,39.7,45.3,48.1,65.7
2021-10-28,Lawrence County,TN,32.6,14380,39.0,41.7,68.6,97.9,16542.0,37.5,44.8,47.8,75.3
2021-10-28,Mellette County,SD,27.6,568,34.7,36.0,43.0,96.4,758.0,36.8,46.3,48.0,51.8
2021-10-28,Sanborn County,SD,48.7,1142,58.9,62.4,87.8,96.4,1329.0,56.7,68.5,72.6,99.9
2021-10-28,Oliver County,ND,22.4,438,26.8,28.8,45.9,95.4,483.0,24.7,29.6,31.8,48.9
2021-10-28,Wood County,WI,55.3,40345,64.3,66.7,90.0,97.0,43245.0,59.2,68.9,71.2,94.0
2021-10-28,Hancock County,TN,29.6,1958,34.2,36.6,51.1,97.9,2188.0,33.1,38.2,40.7,54.3
2021-10-28,Vermillion County,IN,42.8,6638,49.8,52.7,79.0,98.7,7205.0,46.5,54.0,57.0,82.4
2021-10-28,Bastrop County,TX,50.1,44477,60.0,62.2,72.8,99.1,53313.0,60.1,71.9,74.1,85.0
2021-10-28,Shackelford County,TX,33.0,1076,38.2,42.2,66.1,99.1,1228.0,37.6,43.6,47.7,72.2
2021-10-28,Yamhill County,OR,56.9,60893,66.0,67.8,86.3,97.8,66006.0,61.6,71.5,73.2,91.5
2021-10-28,Greene County,MO,44.5,130399,51.7,52.8,77.7,91.2,145254.0,49.6,57.6,58.5,84.0
2021-10-28,Callahan County,TX,33.3,4642,38.7,41.1,61.5,99.1,5259.0,37.7,43.8,46.4,67.1
2021-10-28,Union County,TN,31.3,6248,36.3,38.7,58.7,97.9,7122.0,35.7,41.3,44.0,63.0
2021-10-28,Allegany County,NY,38.6,17769,44.3,45.4,63.4,97.6,18933.0,41.1,47.2,48.3,66.6
2021-10-28,Kent County,RI,70.6,116035,80.3,81.4,97.4,93.0,123819.0,75.4,85.7,86.8,99.9
2021-10-28,Racine County,WI,53.7,105507,63.2,65.7,88.8,97.0,114059.0,58.1,68.3,70.7,93.2
2021-10-28,Beckham County,OK,37.3,8147,44.9,47.7,75.2,93.9,9264.0,42.4,51.1,53.9,83.7
2021-10-28,Clearwater County,ID,37.3,3262,0.0,44.2,69.9,97.6,3594.0,41.0,0.0,48.6,75.0
